"","candidate","percent","count","district"
"1","B. Sanders",0.663,10722,"1"
"2","H. Clinton",0.337,5451,"1"
"3","R. De La Fuente",0,0,"1"
"4","M. O'Malley",0,0,"1"
"5","Other",0,0,"1"
"6","Uncommitted",0,0,"1"
"7","M. Rubio",0.319,4125,"1"
"8","T. Cruz",0.279,3613,"1"
"9","D. Trump",0.243,3151,"1"
"10","B. Carson",0.096,1249,"1"
"11","J. Kasich",0.061,790,"1"
"12","Write-In",0.001,18,"1"
"13","B. Sanders",0.582,11433,"2"
"14","H. Clinton",0.418,8221,"2"
"15","R. De La Fuente",0,0,"2"
"16","M. O'Malley",0,0,"2"
"17","Other",0,0,"2"
"18","Uncommitted",0,0,"2"
"19","M. Rubio",0.378,6071,"2"
"20","T. Cruz",0.301,4836,"2"
"21","D. Trump",0.208,3333,"2"
"22","B. Carson",0.057,921,"2"
"23","J. Kasich",0.052,835,"2"
"24","Write-In",0.003,49,"2"
"25","B. Sanders",0.533,12364,"3"
"26","H. Clinton",0.467,10839,"3"
"27","R. De La Fuente",0,0,"3"
"28","M. O'Malley",0,0,"3"
"29","Other",0,0,"3"
"30","Uncommitted",0,0,"3"
"31","M. Rubio",0.44,8295,"3"
"32","T. Cruz",0.25,4719,"3"
"33","D. Trump",0.186,3497,"3"
"34","J. Kasich",0.075,1416,"3"
"35","B. Carson",0.046,876,"3"
"36","Write-In",0.002,36,"3"
"37","B. Sanders",0.582,17164,"4"
"38","H. Clinton",0.418,12346,"4"
"39","R. De La Fuente",0,0,"4"
"40","M. O'Malley",0,0,"4"
"41","Other",0,0,"4"
"42","Uncommitted",0,0,"4"
"43","M. Rubio",0.451,5493,"4"
"44","T. Cruz",0.246,2992,"4"
"45","D. Trump",0.173,2114,"4"
"46","J. Kasich",0.071,862,"4"
"47","B. Carson",0.058,701,"4"
"48","Write-In",0.002,23,"4"
"49","B. Sanders",0.649,39867,"5"
"50","H. Clinton",0.351,21578,"5"
"51","R. De La Fuente",0,0,"5"
"52","M. O'Malley",0,0,"5"
"53","Other",0,0,"5"
"54","Uncommitted",0,0,"5"
"55","M. Rubio",0.475,4818,"5"
"56","T. Cruz",0.229,2317,"5"
"57","D. Trump",0.156,1577,"5"
"58","J. Kasich",0.091,922,"5"
"59","B. Carson",0.047,480,"5"
"60","Write-In",0.002,19,"5"
"61","B. Sanders",0.624,7881,"6"
"62","H. Clinton",0.376,4756,"6"
"63","R. De La Fuente",0,0,"6"
"64","M. O'Malley",0,0,"6"
"65","Other",0,0,"6"
"66","Uncommitted",0,0,"6"
"67","M. Rubio",0.336,5968,"6"
"68","T. Cruz",0.337,5989,"6"
"69","D. Trump",0.225,4005,"6"
"70","B. Carson",0.066,1175,"6"
"71","J. Kasich",0.035,619,"6"
"72","Write-In",0.002,27,"6"
"73","B. Sanders",0.632,6608,"7"
"74","H. Clinton",0.368,3852,"7"
"75","R. De La Fuente",0,0,"7"
"76","M. O'Malley",0,0,"7"
"77","Other",0,0,"7"
"78","Uncommitted",0,0,"7"
"79","M. Rubio",0.261,3401,"7"
"80","T. Cruz",0.333,4326,"7"
"81","D. Trump",0.232,3017,"7"
"82","B. Carson",0.127,1653,"7"
"83","J. Kasich",0.046,598,"7"
"84","Write-In",0.001,15,"7"
"85","B. Sanders",0.652,12096,"8"
"86","H. Clinton",0.348,6467,"8"
"87","R. De La Fuente",0,0,"8"
"88","M. O'Malley",0,0,"8"
"89","Other",0,0,"8"
"90","Uncommitted",0,0,"8"
"91","M. Rubio",0.25,2955,"8"
"92","T. Cruz",0.329,3892,"8"
"93","D. Trump",0.281,3324,"8"
"94","B. Carson",0.1,1178,"8"
"95","J. Kasich",0.038,446,"8"
"96","Write-In",0.002,19,"8"
